Entity;Year;Retail;Out;Households;Total
Macao;2022;14;25;76;115
Madagascar;2019;15;27;101;143
Madagascar;2022;10;31;92;133
Malawi;2019;15;27;101;144
Malawi;2022;10;31;92;133
Malaysia;2019;77;87;89;253
Malaysia;2022;79;50;81;210
Maldives;2019;17;29;75;120
Maldives;2022;21;34;206;261
Mali;2019;15;26;98;140
Mali;2022;10;31;92;133
Malta;2019;11;22;113;146
Malta;2020;8;45;92;144
Malta;2022;8;45;91;144
Marshall Islands;2019;21;36;100;157
Marshall Islands;2022;20;30;61;111
Martinique;2022;15;23;95;133
Mauritania;2019;16;29;103;148
Mauritania;2022;10;31;89;130
Mauritius;2019;13;25;92;129
Mauritius;2022;15;31;90;137
Mayotte;2022;15;23;94;131
Mexico;2019;88;28;96;212
Mexico;2022;46;64;105;215
Micronesia (country);2019;16;28;93;137
Micronesia (country);2022;9;30;37;76
Moldova;2019;20;36;99;155
Moldova;2022;14;17;71;101
Monaco;2019;14;27;76;116
Monaco;2022;13;21;89;123
Mongolia;2019;16;28;77;121
Mongolia;2022;12;30;18;60
Montenegro;2019;16;28;83;126
Montenegro;2022;15;25;86;126
Morocco;2019;16;28;91;135
Morocco;2022;10;31;113;154
Mozambique;2019;16;28;103;146
Mozambique;2022;10;31;92;133
Myanmar;2019;16;28;88;132
Myanmar;2022;44;40;78;163
Namibia;2019;16;28;94;138
Namibia;2022;15;31;90;137
Nauru;2019;11;23;70;104
Nauru;2022;10;16;47;74
Nepal;2019;16;27;78;121
Nepal;2022;10;33;93;135
Netherlands;2019;11;25;49;85
Netherlands;2020;12;5;59;76
Netherlands;2021;12;5;48;65
Netherlands;2022;12;5;59;76
New Caledonia;2019;13;25;78;116
New Caledonia;2022;13;21;87;121
New Zealand;2019;3;25;59;87
New Zealand;2022;3;40;61;104
Nicaragua;2019;15;27;79;121
Nicaragua;2022;13;48;90;151
Niger;2019;16;28;102;145
Niger;2022;10;31;92;133
Nigeria;2019;16;27;187;229
Nigeria;2022;10;31;113;154
North Korea;2019;16;28;80;124
North Korea;2022;12;30;81;123
North Macedonia;2019;15;27;82;124
North Macedonia;2022;15;25;86;125
Northern Africa (UN);2019;16;27;92;134
Northern Africa (UN);2022;10;31;137;178
Northern America (UN);2019;15;59;61;135
Northern America (UN);2022;14;74;74;162
Northern Mariana Islands;2019;15;29;90;134
Northern Mariana Islands;2022;13;21;60;95
Norway;2019;14;5;79;98
Norway;2020;11;18;78;108
Norway;2021;13;18;75;106
Norway;2022;11;18;78;107
Oceania (UN);2019;11;23;93;127
Oceania (UN);2022;16;48;90;154
Oman;2019;14;28;102;144
Oman;2022;28;24;99;151
Pakistan;2019;15;27;71;113
Pakistan;2022;10;33;130;173
Palau;2019;13;26;79;118
Palau;2022;23;34;70;127
Palestine;2019;16;28;102;146
Palestine;2022;32;29;102;163
Panama;2019;13;26;74;113
Panama;2022;15;43;101;159
Papua New Guinea;2019;14;25;84;124
Papua New Guinea;2022;10;31;89;130
Paraguay;2019;17;30;78;125
Paraguay;2022;19;48;91;158
Peru;2019;16;27;72;115
Peru;2022;19;48;88;154
Philippines;2019;15;27;85;127
Philippines;2022;44;40;26;110
Poland;2019;13;25;55;93
Poland;2020;8;5;59;73
Poland;2021;9;5;60;74
Poland;2022;8;5;60;73
Portugal;2019;13;25;84;122
Portugal;2020;21;16;124;160
Portugal;2021;22;16;125;163
Portugal;2022;21;23;124;168
Puerto Rico;2019;11;23;66;100
Puerto Rico;2022;15;43;88;146
Qatar;2019;13;26;95;134
Qatar;2022;28;24;93;145
Reunion;2022;14;23;92;129
Romania;2019;13;25;69;107
Romania;2022;10;12;67;89
Russia;2019;14;28;33;75
Russia;2022;14;8;33;56
Rwanda;2019;15;27;162;204
Rwanda;2022;10;31;141;182
Saint Barthlemy;2022;13;21;86;120
Saint Helena;2022;27;43;172;242
Saint Kitts and Nevis;2019;14;28;82;124
Saint Kitts and Nevis;2022;16;45;92;153
Saint Lucia;2019;16;28;74;118
Saint Lucia;2022;19;48;91;158
Saint Martin (French part);2019;15;29;85;129
Saint Martin (French part);2022;14;40;83;137
Saint Pierre and Miquelon;2022;25;39;129;193
Saint Vincent and the Grenadines;2019;17;29;76;122
Saint Vincent and the Grenadines;2022;18;46;88;152
Samoa;2019;15;26;70;111
Samoa;2022;10;31;85;125
San Marino;2019;13;25;84;122
San Marino;2022;10;17;74;101
Sao Tome and Principe;2019;16;28;100;143
Sao Tome and Principe;2022;10;32;90;132
Saudi Arabia;2019;19;25;100;144
Saudi Arabia;2022;20;24;105;149
Senegal;2019;16;28;101;146
Senegal;2022;10;31;77;118
Serbia;2019;19;7;98;124
Serbia;2022;3;12;108;123
Seychelles;2019;12;24;88;123
